brand,retail,waktu,production
AUDI,5,2018-01-01,
AUDI,-,2018-02-01,
AUDI,7,2018-03-01,
AUDI,3,2018-04-01,
AUDI,9,2018-05-01,
AUDI,2,2018-06-01,
AUDI,6,2018-07-01,
AUDI,5,2018-08-01,
AUDI,2,2018-09-01,
AUDI,6,2018-10-01,
AUDI,4,2018-11-01,
AUDI,1,2018-12-01,
B M W,181,2018-01-01,360
B M W,170,2018-02-01,355
B M W,215,2018-03-01,266
B M W,265,2018-04-01,202
B M W,315,2018-05-01,247
B M W,200,2018-06-01,111
B M W,105,2018-07-01,319
B M W,190,2018-08-01,282
B M W,210,2018-09-01,254
B M W,171,2018-10-01,293
B M W,220,2018-11-01,197
B M W,118,2018-12-01,241
CHEVROLET,231,2018-01-01,
CHEVROLET,190,2018-02-01,
CHEVROLET,196,2018-03-01,
CHEVROLET,244,2018-04-01,
CHEVROLET,260,2018-05-01,
CHEVROLET,152,2018-06-01,
CHEVROLET,176,2018-07-01,
CHEVROLET,274,2018-08-01,
CHEVROLET,193,2018-09-01,
CHEVROLET,155,2018-10-01,
CHEVROLET,166,2018-11-01,
CHEVROLET,207,2018-12-01,
DAIHATSU,15896,2018-01-01,18803
DAIHATSU,15333,2018-02-01,15453
DAIHATSU,17091,2018-03-01,16988
DAIHATSU,16560,2018-04-01,18799
DAIHATSU,18061,2018-05-01,17664
DAIHATSU,12359,2018-06-01,6639
DAIHATSU,16219,2018-07-01,17790
DAIHATSU,17007,2018-08-01,17382
DAIHATSU,16190,2018-09-01,17041
DAIHATSU,16265,2018-10-01,21029
DAIHATSU,17585,2018-11-01,17601
DAIHATSU,21612,2018-12-01,16198
DATSUN,1230,2018-01-01,2372
DATSUN,925,2018-02-01,149
DATSUN,1377,2018-03-01,3517
DATSUN,724,2018-04-01,1613
DATSUN,988,2018-05-01,1021
DATSUN,659,2018-06-01,509
DATSUN,635,2018-07-01,773
DATSUN,630,2018-08-01,350
DATSUN,574,2018-09-01,396
DATSUN,648,2018-10-01,440
DATSUN,641,2018-11-01,520
DATSUN,792,2018-12-01,180
DFSK,30,2018-01-01,70
DFSK,50,2018-02-01,80
DFSK,40,2018-03-01,29
DFSK,29,2018-04-01,152
DFSK,36,2018-05-01,242
DFSK,79,2018-06-01,142
DFSK,64,2018-07-01,556
DFSK,88,2018-08-01,-
DFSK,96,2018-09-01,243
DFSK,108,2018-10-01,94
DFSK,134,2018-11-01,170
DFSK,85,2018-12-01,253
FAW,23,2018-01-01,20
FAW,34,2018-02-01,-
FAW,21,2018-03-01,10
FAW,37,2018-04-01,14
FAW,26,2018-05-01,40
FAW,20,2018-06-01,-
FAW,35,2018-07-01,-
FAW,37,2018-08-01,-
FAW,20,2018-09-01,-
FAW,32,2018-10-01,-
FAW,31,2018-11-01,-
