BRAND,Retail,tanggal,Production
AUDI,1,2021-01-01,
AUDI,3,2021-02-01,
AUDI,1,2021-03-01,
AUDI,4,2021-04-01,
AUDI,3,2021-05-01,
AUDI,2,2021-06-01,
AUDI,5,2021-07-01,
AUDI,5,2021-08-01,
AUDI,4,2021-09-01,
AUDI,1,2021-10-01,
AUDI,4,2021-11-01,
AUDI,5,2021-12-01,
B M W,168,2021-01-01,63
B M W,175,2021-02-01,147
B M W,230,2021-03-01,121
B M W,215,2021-04-01,142
B M W,197,2021-05-01,70
B M W,202,2021-06-01,165
B M W,125,2021-07-01,100
B M W,181,2021-08-01,149
B M W,212,2021-09-01,195
B M W,185,2021-10-01,208
B M W,241,2021-11-01,209
B M W,302,2021-12-01,217
CHEVROLET,-,2021-01-01,
CHEVROLET,-,2021-02-01,
CHEVROLET,-,2021-03-01,
CHEVROLET,-,2021-04-01,
CHEVROLET,-,2021-05-01,
CHEVROLET,-,2021-06-01,
CHEVROLET,-,2021-07-01,
CHEVROLET,-,2021-08-01,
CHEVROLET,-,2021-09-01,
CHEVROLET,-,2021-10-01,
CHEVROLET,-,2021-11-01,
CHEVROLET,-,2021-12-01,
DAIHATSU,9528,2021-01-01,8988
DAIHATSU,8414,2021-02-01,10747
DAIHATSU,12368,2021-03-01,15076
DAIHATSU,13673,2021-04-01,15752
DAIHATSU,10735,2021-05-01,8252
DAIHATSU,12514,2021-06-01,15446
DAIHATSU,10170,2021-07-01,9282
DAIHATSU,12199,2021-08-01,14408
DAIHATSU,14187,2021-09-01,17297
DAIHATSU,14301,2021-10-01,16932
DAIHATSU,14861,2021-11-01,15616
DAIHATSU,18157,2021-12-01,16023
DATSUN,-,2021-01-01,272
DATSUN,1,2021-02-01,10
DATSUN,19,2021-03-01,-
DATSUN,-,2021-04-01,-
DATSUN,-,2021-05-01,-
DATSUN,-,2021-06-01,-
DATSUN,-,2021-07-01,-
DATSUN,-,2021-08-01,-
DATSUN,-,2021-09-01,-
DATSUN,-,2021-10-01,-
DATSUN,-,2021-11-01,-
DATSUN,-,2021-12-01,-
DFSK,225,2021-01-01,317
DFSK,247,2021-02-01,400
DFSK,274,2021-03-01,251
DFSK,301,2021-04-01,491
DFSK,229,2021-05-01,362
DFSK,232,2021-06-01,722
DFSK,226,2021-07-01,442
