BRAND,Year,Month,whole_sales
TOYOTA,2018,1,25405.0
DAIHATSU,2018,1,18788.0
HONDA,2018,1,13572.0
MITSUBISHI MOTORS,2018,1,13351.0
SUZUKI,2018,1,11511.0
MITSUBISHI FUSO,2018,1,4402.0
HINO,2018,1,2624.0
ISUZU,2018,1,1561.0
WULING,2018,1,927.0
DATSUN,2018,1,1142.0
NISSAN,2018,1,1189.0
MAZDA,2018,1,409.0
UD TRUCKS,2018,1,214.0
CHEVROLET,2018,1,149.0
B M W,2018,1,181.0
HYUNDAI,2018,1,79.0
LEXUS,2018,1,5.0
DFSK,2018,1,54.0
TATA,2018,1,72.0
SCANIA,2018,1,115.0
MINI,2018,1,18.0
VOLKSWAGEN,2018,1,22.0
FAW,2018,1,23.0
RENAULT (PC),2018,1,21.0
PEUGEOT,2018,1,1.0
MAN TRUCK,2018,1,15.0
AUDI,2018,1,5.0
PROTON,2018,1,
HYUNDAI KOMERSIAL,2018,1,
INFINITI,2018,1,
TOYOTA,2018,2,27665.0
DAIHATSU,2018,2,15660.0
HONDA,2018,2,11894.0
MITSUBISHI MOTORS,2018,2,14003.0
SUZUKI,2018,2,11115.0
MITSUBISHI FUSO,2018,2,4408.0
HINO,2018,2,2732.0
ISUZU,2018,2,1796.0
WULING,2018,2,1009.0
DATSUN,2018,2,1125.0
NISSAN,2018,2,1155.0
MAZDA,2018,2,393.0
UD TRUCKS,2018,2,290.0
CHEVROLET,2018,2,180.0
B M W,2018,2,170.0
HYUNDAI,2018,2,109.0
LEXUS,2018,2,227.0
DFSK,2018,2,34.0
TATA,2018,2,101.0
SCANIA,2018,2,83.0
MINI,2018,2,35.0
VOLKSWAGEN,2018,2,25.0
FAW,2018,2,34.0
RENAULT (PC),2018,2,11.0
PEUGEOT,2018,2,10.0
MAN TRUCK,2018,2,10.0
AUDI,2018,2,
PROTON,2018,2,
HYUNDAI KOMERSIAL,2018,2,
INFINITI,2018,2,
TOYOTA,2018,3,31424.0
DAIHATSU,2018,3,17159.0
HONDA,2018,3,10792.0
MITSUBISHI MOTORS,2018,3,13977.0
SUZUKI,2018,3,9729.0
MITSUBISHI FUSO,2018,3,5175.0
HINO,2018,3,3215.0
ISUZU,2018,3,2038.0
WULING,2018,3,1560.0
DATSUN,2018,3,3106.0
NISSAN,2018,3,1516.0
MAZDA,2018,3,456.0
UD TRUCKS,2018,3,275.0
CHEVROLET,2018,3,321.0
B M W,2018,3,215.0
HYUNDAI,2018,3,106.0
LEXUS,2018,3,205.0
DFSK,2018,3,137.0
TATA,2018,3,127.0
SCANIA,2018,3,68.0
MINI,2018,3,28.0
VOLKSWAGEN,2018,3,96.0
